,date,sentiment
812,20140321,0.7
813,20140324,0.7
814,20140325,0.9
815,20140326,0.6
154,20140327,0.7
124,20140328,0.4
901,20140331,0.55
459,20140401,0.46
461,20140402,0.5
460,20140403,0.25
462,20140404,0.766666666667
463,20140407,0.75
465,20140408,0.4
464,20140409,0.5
357,20140410,0.5
358,20140411,0.5
355,20140414,0.5
356,20140415,0.5
353,20140416,0.4
354,20140417,0.5
238,20140421,0.5
237,20140422,0.5
236,20140423,0.533333333333
240,20140424,0.55
239,20140425,0.5
231,20140428,0.6
230,20140429,0.5
118,20140430,0.7
578,20140501,0.6
579,20140502,0.5
580,20140505,0.2
581,20140506,0.525
582,20140507,0.533333333333
576,20140508,0.566666666667
577,20140509,0.5
670,20140512,0.475
669,20140513,0.62
674,20140514,0.65
673,20140515,0.7
672,20140516,0.5
663,20140519,0.68
792,20140520,0.4
793,20140521,0.575
790,20140522,0.55
791,20140523,0.5
789,20140527,0.5
787,20140528,0.466666666667
788,20140529,0.6
883,20140530,0.5
219,20140602,0.55
218,20140603,0.5
1453,20140604,0.5
1443,20140605,0.466666666667
223,20140606,0.62
226,20140609,0.65
108,20140610,0.5
696,20140611,0.525
110,20140612,0.5
111,20140613,0.5
112,20140616,0.55
113,20140617,0.5
114,20140618,0.5
115,20140619,0.8
444,20140620,0.5
1104,20140623,0.7
447,20140624,0.5
446,20140625,0.5
449,20140626,0.5
1113,20140627,0.525
349,20140630,0.7
370,20140701,0.55
368,20140702,0.5
369,20140703,0.9
371,20140707,0.4
366,20140708,0.566666666667
367,20140709,0.9
153,20140710,0.5
475,20140711,0.5
472,20140714,0.5
471,20140715,0.5
474,20140716,0.5
473,20140717,0.5
469,20140718,0.533333333333
96,20140721,0.5
97,20140722,0.3
98,20140723,0.5
94,20140724,0.6
95,20140725,0.55
99,20140728,0.5
100,20140729,0.5
208,20140730,0.3
207,20140731,0.5
1366,20140801,0.5
1363,20140804,0.5
1362,20140805,0.55
1365,20140806,0.5
1364,20140807,0.425
1361,20140808,0.5
1256,20140811,0.5
1254,20140812,0.5
1255,20140813,0.5
1257,20140814,0.5
1258,20140815,0.5
